DATE,GDP,CPI,Unemployment Rate,Federal Funds Rate,Retail Sales
2019-01-01,21104.133,252.561,4.0,2.4,438377.0
2019-02-01,,253.319,3.8,2.4,438830.0
2019-03-01,,254.277,3.8,2.41,446084.0
2019-04-01,21384.775,255.233,3.7,2.42,445957.0
2019-05-01,,255.296,3.6,2.39,448869.0
2019-06-01,,255.213,3.6,2.38,448856.0
2019-07-01,21694.282,255.802,3.7,2.4,452442.0
2019-08-01,,256.036,3.6,2.13,455725.0
2019-09-01,,256.43,3.5,2.04,451994.0
2019-10-01,21902.39,257.155,3.6,1.83,453140.0
2019-11-01,,257.879,3.6,1.55,456656.0
2019-12-01,,258.63,3.6,1.55,457669.0
2020-01-01,21706.513,258.906,3.6,1.55,456334.0
2020-02-01,,259.246,3.5,1.58,456676.0
2020-03-01,,258.15,4.4,0.65,429854.0
2020-04-01,19913.143,256.126,14.8,0.05,376992.0
2020-05-01,,255.848,13.2,0.05,444746.0
2020-06-01,,257.004,11.0,0.08,474621.0
2020-07-01,21647.64,258.408,10.2,0.09,480461.0
2020-08-01,,259.366,8.4,0.1,483280.0
2020-09-01,,259.951,7.8,0.09,492411.0
2020-10-01,22024.502,260.249,6.8,0.09,490482.0
2020-11-01,,260.895,6.7,0.09,487824.0
2020-12-01,,262.005,6.7,0.09,496423.0
2021-01-01,22600.185,262.518,6.4,0.09,510740.0
2021-02-01,,263.583,6.2,0.08,497758.0
2021-03-01,,264.91,6.1,0.07,550349.0
2021-04-01,23292.362,266.752,6.1,0.07,552575.0
2021-05-01,,268.452,5.8,0.06,545282.0
2021-06-01,,270.664,5.9,0.08,548414.0
2021-07-01,23828.973,271.994,5.4,0.1,537466.0
2021-08-01,,272.789,5.1,0.09,542966.0
2021-09-01,,273.887,4.7,0.08,547197.0
2021-10-01,24654.603,276.434,4.5,0.08,557190.0
2021-11-01,,278.799,4.1,0.08,563358.0
2021-12-01,,280.808,3.9,0.08,560896.0
2022-01-01,25029.116,282.39,4.0,0.08,572415.0
2022-02-01,,284.535,3.8,0.08,577933.0
2022-03-01,,287.553,3.6,0.2,589238.0
2022-04-01,25544.273,288.764,3.7,0.33,595371.0
2022-05-01,,291.359,3.6,0.77,593733.0
2022-06-01,,294.996,3.6,1.21,598405.0
2022-07-01,25994.639,294.977,3.5,1.68,594264.0
2022-08-01,,295.209,3.6,2.33,596600.0
2022-09-01,,296.341,3.5,2.56,594142.0
2022-10-01,26408.405,297.863,3.6,3.08,602581.0
2022-11-01,,298.648,3.6,3.78,593927.0
2022-12-01,,298.812,3.5,4.1,585653.0
2023-01-01,26813.601,300.356,3.4,4.33,606350.0
2023-02-01,,301.509,3.6,4.57,602624.0
2023-03-01,,301.744,3.5,4.65,594281.0
2023-04-01,27063.012,303.032,3.4,4.83,596809.0
2023-05-01,,303.365,3.7,5.06,599958.0
2023-06-01,,304.003,3.6,5.08,600736.0
2023-07-01,27610.128,304.628,3.5,5.12,603792.0
2023-08-01,,306.187,3.8,5.33,608386.0
2023-09-01,,307.288,3.8,5.33,612633.0
2023-10-01,27944.627,307.531,3.8,5.33,610561.0
2023-11-01,,308.024,3.7,5.33,609099.0
2023-12-01,,308.742,3.7,5.33,610322.0
2024-01-01,,309.685,3.7,5.33,603825.0
2024-02-01,,311.054,3.9,5.33,607425.0
